query_id,market,city,raw_query,results_shown,clicked,purchased,date
Q000001,GB,London,hair colour,1,0,0,2026-06-06
Q000002,GB,London,supercar track day,0,0,0,2026-06-21
Q000003,GB,Manchester,deep tissue massage,20,1,0,2026-06-24
Q000004,GB,Glasgow,helicopter tour,0,0,0,2026-06-24
Q000005,GB,London,shark diving,0,0,0,2026-06-24
Q000006,GB,Manchester,helicopter tour,0,0,0,2026-06-01
Q000007,GB,London,pizza deal,11,1,1,2026-06-30
Q000008,GB,London,hair colour,21,0,0,2026-06-21
Q000009,GB,London,escape room,8,0,0,2026-06-08
Q000010,GB,Manchester,facial,2,0,0,2026-06-04
Q000011,GB,London,paintball,0,0,0,2026-06-18
Q000012,GB,London,back massage,25,1,1,2026-06-26
Q000013,GB,London,hot air balloon ride,0,0,0,2026-06-24
Q000014,GB,Birmingham,eyelash extensions,14,1,0,2026-06-08
Q000015,GB,London,eyelash extensions,13,0,0,2026-06-19
Q000016,GB,London,indian restaurant,11,0,0,2026-06-04
Q000017,GB,London,thai massage,23,1,0,2026-06-14
Q000018,GB,London,sushi,0,0,0,2026-06-20
Q000019,GB,Glasgow,crossfit,19,1,0,2026-06-23
Q000020,GB,London,back massage,21,1,1,2026-06-24
Q000021,GB,London,indian restaurant,0,0,0,2026-06-10
Q000022,GB,Glasgow,manicure,8,1,1,2026-06-11
Q000023,GB,London,facial,33,0,0,2026-06-24
Q000024,GB,Manchester,manicure,6,1,0,2026-06-26
Q000025,GB,Manchester,paintball,0,0,0,2026-06-27
Q000026,GB,London,city tour,8,1,0,2026-06-13
Q000027,GB,London,steak dinner,2,0,0,2026-06-12
Q000028,GB,Birmingham,steak dinner,10,1,0,2026-06-15
Q000029,GB,London,back massage,16,1,0,2026-06-03
Q000030,GB,London,city tour,1,0,0,2026-06-24
Q000031,GB,Glasgow,deep tissue massage,2,0,0,2026-06-18
Q000032,GB,London,sushi,28,1,1,2026-06-01
Q000033,GB,Manchester,city tour,23,0,0,2026-06-14
Q000034,GB,London,pizza deal,22,1,0,2026-06-30
Q000035,GB,Manchester,yoga class,1,0,0,2026-06-21
Q000036,GB,Manchester,manicure,25,1,1,2026-06-09
Q000037,GB,Manchester,personal trainer,2,0,0,2026-06-01
Q000038,GB,London,gym,8,0,0,2026-06-13
Q000039,GB,London,yoga class,33,0,0,2026-06-06
Q000040,GB,Manchester,city tour,24,0,0,2026-06-02
Q000041,GB,London,manicurre,23,1,0,2026-06-23
Q000042,GB,London,paintball,1,0,0,2026-06-14
Q000043,GB,London,personal trainer,2,0,0,2026-06-03
Q000044,GB,London,yoga class,0,0,0,2026-06-05
Q000045,GB,London,bowling,2,0,0,2026-06-09
Q000046,GB,Manchester,shark diiving,0,0,0,2026-06-09
Q000047,GB,London,sports massage,0,0,0,2026-06-21
Q000048,GB,London,paintball,9,0,0,2026-06-25
Q000049,GB,London,couples massage,18,1,0,2026-06-02
Q000050,GB,London,eyelash extensions,18,1,0,2026-06-19
Q000051,GB,London,pilates,2,0,0,2026-06-28
Q000052,GB,London,hair colour,1,0,0,2026-06-04
Q000053,GB,Glasgow,supercar track day,0,0,0,2026-06-27
Q000054,GB,Glasgow,gym,17,0,0,2026-06-07
Q000055,GB,Glasgow,skydiving,0,0,0,2026-06-30
Q000056,GB,London,personal trainer,1,0,0,2026-06-29
Q000057,GB,Birmingham,pilates,17,0,0,2026-06-23
Q000058,GB,London,couplles massage,17,0,0,2026-06-14
Q000059,GB,Birmingham,back massage,0,0,0,2026-06-17
Q000060,GB,Glasgow,hair colour,0,0,0,2026-06-24
Q000061,GB,London,indian restaurant,2,0,0,2026-06-24
Q000062,GB,Birmingham,hair colour,21,1,0,2026-06-04
Q000063,GB,London,manicure,23,0,0,2026-06-24
Q000064,GB,Glasgow,city tour,16,1,1,2026-06-14
Q000065,GB,Birmingham,deep tissue massage,1,0,0,2026-06-23
Q000066,GB,Manchester,haircut,0,0,0,2026-06-07
Q000067,GB,London,go karting,20,0,0,2026-06-18
Q000068,GB,London,couples massage,0,0,0,2026-06-10
Q000069,GB,London,steak dinner,25,0,0,2026-06-13
Q000070,GB,London,gym,13,0,0,2026-06-05
Q000071,GB,London,eyelash extensions,1,0,0,2026-06-05
Q000072,GB,London,hair colour,23,0,0,2026-06-15
Q000073,GB,London,escape room,25,1,0,2026-06-25
Q000074,GB,London,haircut,17,1,1,2026-06-22
Q000075,GB,Glasgow,escape room,18,1,0,2026-06-07
Q000076,GB,London,back massage,2,0,0,2026-06-23
Q000077,GB,London,city tour,19,0,0,2026-06-28
Q000078,GB,London,personal trainer,22,1,1,2026-06-07
Q000079,GB,Glasgow,paintball,0,0,0,2026-06-05
Q000080,GB,London,steak dinner,18,0,0,2026-06-21
Q000081,GB,London,yoga class,23,1,0,2026-06-08
Q000082,GB,Manchester,helicopter tour,0,0,0,2026-06-19
Q000083,GB,Manchester,paintball,10,0,0,2026-06-22
Q000084,GB,Birmingham,hair colour,12,0,0,2026-06-22
Q000085,GB,London,escape room,9,1,0,2026-06-07
Q000086,GB,London,eyelash extensions,1,0,0,2026-06-25
Q000087,GB,London,yoga class,20,0,0,2026-06-18
Q000088,GB,London,hot air balloon ride,0,0,0,2026-06-11
Q000089,GB,London,brunch,15,0,0,2026-06-16
Q000090,GB,Birmingham,crossfit,5,1,1,2026-06-23
Q000091,GB,Glasgow,go karting,26,0,0,2026-06-30
