query_id,market,city,raw_query,results_shown,clicked,purchased,date,segment,query_volume
Q000001,GB,London,hair colour,1,0,0,2026-06-06,core query,85
Q000002,GB,London,supercar track day,0,0,0,2026-06-21,no-inventory intent,85
Q000003,GB,Manchester,deep tissue massage,20,1,0,2026-06-24,core query,77
Q000004,GB,Glasgow,helicopter tour,0,0,0,2026-06-24,no-inventory intent,100
Q000005,GB,London,shark diving,0,0,0,2026-06-24,no-inventory intent,79
Q000006,GB,Manchester,helicopter tour,0,0,0,2026-06-01,no-inventory intent,100
Q000007,GB,London,pizza deal,11,1,1,2026-06-30,core query,86
Q000008,GB,London,hair colour,21,0,0,2026-06-21,core query,85
Q000009,GB,London,escape room,8,0,0,2026-06-08,core query,87
Q000010,GB,Manchester,facial,2,0,0,2026-06-04,core query,86
Q000011,GB,London,paintball,0,0,0,2026-06-18,core query,102
Q000012,GB,London,back massage,25,1,1,2026-06-26,core query,78
Q000013,GB,London,hot air balloon ride,0,0,0,2026-06-24,no-inventory intent,94
Q000014,GB,Birmingham,eyelash extensions,14,1,0,2026-06-08,core query,87
Q000015,GB,London,eyelash extensions,13,0,0,2026-06-19,core query,87
Q000016,GB,London,indian restaurant,11,0,0,2026-06-04,core query,85
Q000017,GB,London,thai massage,23,1,0,2026-06-14,core query,76
Q000018,GB,London,sushi,0,0,0,2026-06-20,core query,71
Q000019,GB,Glasgow,crossfit,19,1,0,2026-06-23,core query,84
Q000020,GB,London,back massage,21,1,1,2026-06-24,core query,78
Q000021,GB,London,indian restaurant,0,0,0,2026-06-10,core query,85
Q000022,GB,Glasgow,manicure,8,1,1,2026-06-11,core query,74
Q000023,GB,London,facial,33,0,0,2026-06-24,core query,86
Q000024,GB,Manchester,manicure,6,1,0,2026-06-26,core query,74
Q000025,GB,Manchester,paintball,0,0,0,2026-06-27,core query,102
Q000026,GB,London,city tour,8,1,0,2026-06-13,core query,72
Q000027,GB,London,steak dinner,2,0,0,2026-06-12,core query,85
Q000028,GB,Birmingham,steak dinner,10,1,0,2026-06-15,core query,85
Q000029,GB,London,back massage,16,1,0,2026-06-03,core query,78
Q000030,GB,London,city tour,1,0,0,2026-06-24,core query,72
Q000031,GB,Glasgow,deep tissue massage,2,0,0,2026-06-18,core query,77
Q000032,GB,London,sushi,28,1,1,2026-06-01,core query,71
Q000033,GB,Manchester,city tour,23,0,0,2026-06-14,core query,72
Q000034,GB,London,pizza deal,22,1,0,2026-06-30,core query,86
Q000035,GB,Manchester,yoga class,1,0,0,2026-06-21,core query,74
Q000036,GB,Manchester,manicure,25,1,1,2026-06-09,core query,74
Q000037,GB,Manchester,personal trainer,2,0,0,2026-06-01,core query,72
Q000038,GB,London,gym,8,0,0,2026-06-13,core query,88
Q000039,GB,London,yoga class,33,0,0,2026-06-06,core query,74
Q000040,GB,Manchester,city tour,24,0,0,2026-06-02,core query,72
Q000041,GB,London,manicurre,23,1,0,2026-06-23,misspelling,1
Q000042,GB,London,paintball,1,0,0,2026-06-14,core query,102
Q000043,GB,London,personal trainer,2,0,0,2026-06-03,core query,72
Q000044,GB,London,yoga class,0,0,0,2026-06-05,core query,74
Q000045,GB,London,bowling,2,0,0,2026-06-09,core query,73
Q000046,GB,Manchester,shark diiving,0,0,0,2026-06-09,misspelling,1
Q000047,GB,London,sports massage,0,0,0,2026-06-21,core query,74
Q000048,GB,London,paintball,9,0,0,2026-06-25,core query,102
Q000049,GB,London,couples massage,18,1,0,2026-06-02,core query,70
Q000050,GB,London,eyelash extensions,18,1,0,2026-06-19,core query,87
Q000051,GB,London,pilates,2,0,0,2026-06-28,core query,72
Q000052,GB,London,hair colour,1,0,0,2026-06-04,core query,85
Q000053,GB,Glasgow,supercar track day,0,0,0,2026-06-27,no-inventory intent,85
Q000054,GB,Glasgow,gym,17,0,0,2026-06-07,core query,88
